transaction_id,transaction_amount,transaction_type,transaction_location,account_age_days,card_present,previous_fraudulent_transactions,is_fraud,transaction_date
1,3746.03,Bank Transfer,Chicago,3610,1,4,0,2023-07-30
2,9507.19,ATM,New York,3455,1,0,0,2023-03-02
3,7320.21,ATM,Phoenix,3187,0,3,0,2023-02-14
4,5986.99,ATM,Chicago,2942,0,2,0,2023-04-03
5,1561.03,Bank Transfer,Los Angeles,3554,0,0,0,2023-08-14
6,1560.79,POS,Chicago,1308,1,4,0,2023-08-01
7,581.78,Bank Transfer,Chicago,899,0,0,0,2023-10-09
8,8661.9,POS,Los Angeles,1099,1,1,0,2023-05-19
9,6011.55,Bank Transfer,Houston,1190,0,0,0,2023-03-19
10,7081.02,Bank Transfer,Houston,1213,0,3,0,2023-07-26
11,206.82,POS,New York,2126,1,0,0,2023-04-04
12,9699.13,ATM,New York,2995,1,2,0,2023-12-06
13,8324.59,POS,Houston,688,0,0,0,2023-09-28
14,2124.18,Online,Phoenix,2069,0,1,0,2023-10-03
15,1819.07,Online,Chicago,566,0,0,0,2023-08-17
16,1834.86,POS,Phoenix,1208,0,3,0,2023-12-25
17,3043.12,Bank Transfer,Chicago,1895,0,4,0,2023-03-18
18,5248.04,Online,Houston,3294,1,0,0,2023-04-10
19,4320.02,Online,New York,827,1,0,0,2023-06-14
20,2913.0,Bank Transfer,New York,1352,1,2,0,2023-07-31
21,6118.92,Bank Transfer,Phoenix,2227,1,3,0,2023-06-03
22,1395.8,ATM,New York,1812,0,4,0,2023-07-20
23,2922.15,Bank Transfer,Houston,3184,0,1,0,2023-06-13
24,3664.25,POS,Phoenix,1083,1,0,0,2023-05-21
25,4561.24,POS,Chicago,1351,0,4,0,2023-06-10
26,7851.97,ATM,New York,2953,1,1,0,2023-02-18
27,1997.54,Online,Los Angeles,1645,0,3,0,2023-11-04
28,5142.83,Online,New York,2717,0,3,0,2023-02-17
29,5924.55,Bank Transfer,Chicago,191,0,4,0,2023-11-14
30,465.46,POS,Phoenix,1224,1,1,0,2023-10-10
31,6075.84,Online,Chicago,1336,1,3,0,2023-04-02
32,1706.07,ATM,Los Angeles,708,1,4,0,2023-05-23
33,651.45,ATM,Houston,3107,1,3,1,2023-02-04
34,9488.91,POS,New York,379,0,3,0,2023-05-01
35,9656.35,ATM,Phoenix,387,0,3,0,2023-02-18
36,8084.17,ATM,Houston,2285,0,2,0,2023-05-29
37,3046.83,POS,Chicago,616,0,1,0,2023-11-03
38,977.62,Bank Transfer,Phoenix,1543,1,4,0,2023-11-02
39,6842.65,Bank Transfer,Houston,2331,0,4,0,2023-06-22
40,4402.08,ATM,Phoenix,2049,0,1,0,2023-02-22
41,1221.26,Bank Transfer,Los Angeles,1755,0,1,0,2023-11-14
42,4952.27,Bank Transfer,Los Angeles,464,1,1,0,2023-07-13
43,344.85,ATM,New York,3302,1,1,0,2023-02-06
44,9093.29,Bank Transfer,New York,967,1,0,0,2023-11-09
45,2588.54,ATM,Los Angeles,172,0,4,0,2023-03-17
46,6625.56,Online,Phoenix,3159,1,0,0,2023-08-05
47,3117.8,POS,Los Angeles,3625,0,3,0,2023-10-08
48,5201.16,POS,New York,1147,0,3,0,2023-09-11
49,5467.56,Bank Transfer,Los Angeles,843,0,4,0,2023-01-12
50,1849.36,Bank Transfer,Los Angeles,1322,1,3,0,2023-05-30
51,9695.88,Bank Transfer,Phoenix,1909,1,1,0,2023-09-22
52,7751.55,POS,Houston,690,0,0,0,2023-07-13
53,9395.05,Online,New York,2623,0,1,0,2023-09-13
54,8948.38,Online,Phoenix,1508,1,3,0,2023-07-26
55,5979.4,POS,Los Angeles,2213,1,0,0,2023-07-01
56,9218.82,Online,Los Angeles,2025,1,1,0,2023-02-22
57,885.84,POS,Houston,1723,0,4,0,2023-05-12
58,1960.63,Online,New York,383,0,1,0,2023-07-01
59,453.23,ATM,New York,2257,0,3,0,2023-08-21
60,3253.98,ATM,Chicago,3504,1,0,0,2023-01-23
61,3887.38,POS,New York,1413,1,4,0,2023-05-30
62,2714.22,Online,Houston,1584,1,0,0,2023-11-02
63,8287.55,Bank Transfer,Chicago,2272,0,4,0,2023-07-30
64,3568.18,Online,Chicago,2051,0,0,0,2023-11-15
65,2810.06,ATM,Los Angeles,372,1,3,0,2023-01-25
66,5427.42,ATM,Los Angeles,1711,0,4,0,2023-10-11
67,1410.1,Online,New York,1470,1,2,0,2023-10-02
68,8022.17,Online,Chicago,611,0,0,0,2023-07-30
69,746.43,Bank Transfer,Los Angeles,116,1,0,0,2023-01-04
70,9868.88,Bank Transfer,Houston,3342,0,1,0,2023-05-02
71,7722.68,Online,Los Angeles,447,0,4,0,2023-10-14
72,1987.96,Online,Los Angeles,1392,1,2,0,2023-04-10
73,56.22,Online,Chicago,3325,1,3,0,2023-02-23
74,8154.8,Online,Chicago,1341,1,1,0,2023-08-13
75,7068.87,POS,Phoenix,415,1,2,1,2023-08-25
76,7290.34,Online,Houston,3167,1,4,0,2023-06-12
77,7712.93,Bank Transfer,Chicago,1809,0,2,0,2023-08-16
78,741.37,ATM,New York,2940,1,0,0,2023-04-19
79,3585.3,POS,Houston,1048,1,0,0,2023-11-14
80,1159.57,Online,Houston,2711,1,1,0,2023-08-05
81,8631.17,ATM,Chicago,1874,0,4,1,2023-03-04
82,6233.36,POS,Houston,1074,1,4,0,2023-07-30
83,3309.65,ATM,Chicago,3574,1,2,0,2023-02-07
84,636.52,Online,Los Angeles,718,1,1,0,2023-09-01
85,3110.51,Online,Phoenix,3570,0,4,0,2023-01-17
86,3252.51,Bank Transfer,Los Angeles,1359,0,0,0,2023-03-15
87,7296.33,Online,Chicago,3151,1,2,0,2023-01-23
88,6375.94,Online,Chicago,1606,0,3,1,2023-01-16
89,8872.24,POS,Los Angeles,3099,1,0,0,2023-06-06
90,4722.68,Bank Transfer,New York,2319,0,1,0,2023-09-19
91,1196.82,POS,New York,562,1,4,0,2023-11-11
92,7132.73,ATM,New York,2852,0,0,0,2023-05-19
93,7608.09,Online,Chicago,2295,1,3,0,2023-02-18
94,5613.21,ATM,Houston,387,1,3,0,2023-07-28
95,7709.9,POS,Chicago,702,0,1,0,2023-10-02
96,4938.46,Online,Houston,2607,1,0,0,2023-07-23
97,5227.81,Online,Los Angeles,973,1,2,0,2023-04-02
98,4275.98,POS,Phoenix,1385,1,0,0,2023-07-04
99,255.17,POS,Houston,984,1,3,0,2023-03-26
100,1079.81,POS,New York,1512,0,1,1,2023-07-17
101,315.26,POS,Chicago,352,1,1,0,2023-01-02
102,6364.47,POS,Los Angeles,1725,0,2,0,2023-05-16
103,3144.25,Online,New York,1952,0,1,0,2023-05-01
104,5086.2,POS,Los Angeles,1280,0,1,0,2023-12-14
105,9075.76,Online,Phoenix,3294,0,1,0,2023-09-05
106,2493.67,Online,Chicago,1908,1,1,0,2023-11-16
107,4104.42,POS,Chicago,753,1,1,0,2023-03-02
108,7555.76,POS,Phoenix,2829,0,3,0,2023-05-05
109,2288.75,Bank Transfer,Chicago,1025,1,0,0,2023-02-08
110,770.72,Online,Houston,546,0,4,0,2023-08-12
111,2898.22,POS,Los Angeles,1470,1,1,0,2023-03-06
112,1613.05,POS,New York,79,1,4,0,2023-10-24
113,9297.05,POS,Phoenix,1260,1,4,0,2023-01-04
114,8081.4,Bank Transfer,Houston,2382,0,3,0,2023-04-29
115,6334.4,Bank Transfer,New York,889,0,1,0,2023-02-25
116,8714.73,ATM,New York,3421,1,4,1,2023-01-04
117,8036.92,Online,Phoenix,3170,0,1,0,2023-12-30
118,1866.51,ATM,Houston,1106,0,2,0,2023-07-15
119,8925.7,POS,New York,2550,1,2,0,2023-06-01
120,5393.88,Bank Transfer,New York,1991,0,2,0,2023-01-20
121,8074.59,Bank Transfer,Houston,1501,1,4,0,2023-03-14
122,8961.02,ATM,Chicago,2813,1,2,0,2023-04-26
123,3180.72,Bank Transfer,New York,921,1,3,1,2023-03-02
124,1101.41,POS,Los Angeles,550,0,3,0,2023-10-30
